X,Y,LATITUDE,LONGITUDE,fid,barriere,druecker,elem_nr,gis_id,hmas,mas,MODEL,SCALE_X,SCALE_Y,SCALE_Z,HubDist,BEARING
392563.119995711,5820316.953999439,52.52235499,13.41646892,s_Mast_LSA.11360,,2,47550002_47550057.01,PK_16072014_00398,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,7.879855587630726,34.5219
392574.493995713,5820308.854999439,52.52228445,13.41663911,s_Mast_LSA.11361,,2,47550002_47550057.01,PK_16072014_00397,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,6.081556470474030,213.7885
392596.486995719,5820284.640999441,52.52207118,13.41697096,s_Mast_LSA.11398,,2,47550001_47550035.02,PK_16072014_05124,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,10.685743654921220,118.1002
392586.179995717,5820269.291999440,52.52193122,13.41682406,s_Mast_LSA.11399,,2,47550001_47550035.02,PK_16072014_05123,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,7.736499529857571,-57.1298
390659.977995152,5820067.321999417,52.51973311,13.38851224,s_Mast_LSA.10240,,2,45550004_45540004.01,PK_16012014_01221,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,3.204003921475516,168.0974
390779.548995190,5819992.505999417,52.51908475,13.39029834,s_Mast_LSA.10245,,2,45550033_45540002.01,PK_16012014_04086,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,8.503478160359331,-5.0665
390798.480995195,5819991.967999419,52.51908371,13.39057742,s_Mast_LSA.10218,,2,45540002_45540001.01,PK_16012014_00276,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,8.310836873839673,59.465
390889.036995222,5820094.529999418,52.52002353,13.39187781,s_Mast_LSA.10247,,2,45550033_45550034.01,PK_16012014_02978,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,3.219590458117466,264.1294
390905.926995228,5820095.463999420,52.52003530,13.39212632,s_Mast_LSA.10234,,2,45550034_46550027.01,PK_16012014_03011,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,3.708417151664053,264.9692
390899.635995227,5820003.774999421,52.51921007,13.39206373,s_Mast_LSA.10233,,2,45550034_45540001.01,PK_16012014_04342,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,7.940775611621238,-15.8307
390916.623995232,5820001.544999421,52.51919343,13.39231473,s_Mast_LSA.10228,,2,45540001_46550004.01,PK_16012014_00231,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,7.288864752873121,84.561
390921.905995234,5819985.520999420,52.51905049,13.39239780,s_Mast_LSA.10227,,2,45540001_45540068.01,PK_16012014_04304,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,5.006427690271918,145.8086
391736.171995476,5820088.626999428,52.52013943,13.40435987,s_Mast_LSA.11435,,2,46550017_46550057.01,PK_04082014_08480,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,7.407415685044501,-38.5482
391750.224995479,5820064.788999431,52.51992800,13.40457466,s_Mast_LSA.11433,,2,46540034_46550057.01,PK_04082014_04433,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,7.217752691636370,229.4698
391762.029995484,5820049.826999427,52.51979588,13.40475345,s_Mast_LSA.11431,,2,46540034_46550057.01,PK_04082014_04435,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,7.800611846608348,230.1559
391792.922995493,5820066.032999432,52.51994766,13.40520329,s_Mast_LSA.11326,,2,46550057_46540089.01,PK_16072014_07109,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,1.667032175248194,49.2255
391777.338995487,5820108.431999429,52.52032559,13.40495990,s_Mast_LSA.11427,,2,46550057_47550029.01,PK_04082014_04681,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,8.587247748703296,51.3628
391784.948995490,5820097.481999433,52.52022869,13.40507558,s_Mast_LSA.11429,,2,46550057_47550029.01,PK_04082014_04679,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,4.729694943545646,231.1014
391779.576995488,5820055.719999430,52.51985233,13.40501003,s_Mast_LSA.11327,,2,46550057_46540089.01,PK_16072014_07108,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,4.146941960433132,133.3737
392474.960995687,5820117.440999438,52.52054464,13.41523460,s_Mast_LSA.11329,,2,47550026_47550012.02,PK_16072014_03682,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,6.672915680099989,212.7103
