X,Y,LATITUDE,LONGITUDE,PARALLEL,DESCRIPTIO,CATEGORY,COLOR,HubDist,BEARING,SECTOR,MODEL_PATH,MODEL_NAME,SCALE_X,SCALE_Y,SCALE_Z,TRAILER
390387.5,5821402.5,52.53167706,13.38405772,NO,Dark Blue Mid-size Car,Mid-size,Dark Blue,27.9633124,153.6745,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_dark_blue.prefab,1.15,1,1,No
390389.8438,5821404,52.53169101,13.38409176,NO,Silver 80's Hatchback,Compact,Silver,27.64627495,153.6274,Civilian,Assets/Hatchback and Sedan/prefabs/,HATCHBACK_1988.prefab,0.61,0.61,0.61,No
390392.25,5821405,52.53170048,13.38412689,NO,90s Mid-size Sedan 2,Mid-size,Black,27.80534054,153.9224,Civilian,Assets/sedan/pref/,sedanpref.prefab,49,49,49,No
390394.5,5821406,52.53170992,13.38415972,NO,Silver Subcompact Car,Subcompact,Silver,27.89610978,153.8769,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_silver.prefab,0.9,0.9,0.9,No
390433.625,5821416.00015147,52.53180765,13.38473296,NO,Black Mid-size Car,Mid-size,Black,5.922809299,58.4548,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_black.prefab,1.15,1,1,No
390434.5625,5821414.00015147,52.53178987,13.38474744,NO,White Subcompact Car,Subcompact,White,5.621305174,235.9798,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_white.prefab,0.9,0.9,0.9,No
390435.8438,5821412.00015147,52.53177215,13.38476698,NO,White Subcompact Car,Subcompact,White,5.6096873,58.4451,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_white.prefab,0.9,0.9,0.9,No
390437.0625,5821410.47720225,52.53175892,13.38478543,NO,Black Mid-size Car,Mid-size,Black,5.81572071,236.307,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_black.prefab,1.15,1,1,No
390438.375,5821408.5,52.53174121,13.38480543,NO,White Full-size Luxury Sedan,Full-size Luxury,White,5.830475629,55.8545,Civilian,Assets/Hatchback and Sedan/prefabs/,SEDAN.prefab,0.85,0.75,0.75,No
390439.783013821,5821406.57729991,52.53172811,13.38483402,NO,Dark Silver Compact Car,Compact,Silver,6.613448604,237.3991,Civilian,Assets/Car folder/,dark_grey_sedan.prefab,0.6,0.6,0.6,No
390441.125,5821404.5,52.53170582,13.38484727,NO,Black Subcompact Car,Subcompact,Black,5.963839427,55.646,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_black.prefab,0.9,0.9,0.9,No
390442.363091946,5821402.73745616,52.53169263,13.38486941,NO,White Compact Car,Compact,White,6.379526522,57.7924,Civilian,Assets/Car folder/,white_sedan.prefab,0.6,0.6,0.6,No
390443.383111477,5821400.64761241,52.53167492,13.38488941,NO,Red Full-size Sedan,Full-size Car,Red,6.393069526,237.3765,Civilian,Assets/Vehicle - pro 3d models/Civilian_vehicle_05/Prefab/,CivilianVehicle05_red.prefab,1.15,1,1,No
390444.443048,5821398.55728037,52.53165709,13.3849002,NO,80's Mid-size Sedan 1,Mid-size,White,5.882594996,56.6122,Civilian,Assets/Urban American Assets/Props/Vehicles/,Car2.prefab,0.85,0.85,0.85,No
390445.923028469,5821396.75747569,52.53163941,13.38492251,NO,Dark Silver Compact Car,Compact,Silver,6.027517635,56.9912,Civilian,Assets/Car folder/,dark_grey_sedan.prefab,0.6,0.6,0.6,No
390447.2813,5821395,52.53162168,13.38494113,NO,Silver Subcompact Car,Subcompact,Silver,5.963716027,56.0564,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_silver.prefab,0.9,0.9,0.9,No
390448.5625,5821393,52.53160397,13.38496067,NO,Silver Mid-size Car,Mid-size,Silver,5.952122956,58.3801,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_silver.prefab,1.15,1,1,No
390449.433038235,5821390.86733897,52.53158622,13.3849779,NO,90s Mid-size Sedan 1,Mid-size,White,5.807163038,236.9508,Civilian,Assets/Urban American Assets/Props/Vehicles/,Car1.prefab,0.85,0.85,0.9,No
390450.793023586,5821389.29751475,52.53157302,13.38499912,NO,Black 80's Hatchback,Compact,Black,6.172869049,55.9355,Civilian,Assets/Hatchback and Sedan/prefabs/,HATCHBACK_1988_black.prefab,0.61,0.61,0.61,No
390452.0313,5821387.5,52.53155524,13.38501359,NO,White Sporty Hatchback Microcar,Microcar,White,5.871310022,56.4112,Civilian,Assets/Azerilo/Car Model No.1201 Asset/Prefab/,Sporty_Hatchback_white.prefab,0.7,0.8,0.75,No
390453.403008938,5821385.03726084,52.5315331,13.38503883,NO,Black Full-size Sedan,Full-size Car,Black,5.902640706,55.936,Civilian,Assets/Vehicle - pro 3d models/Civilian_vehicle_05/Prefab/,CivilianVehicle05_black.prefab,1.15,1,1,No
390454.633111477,5821383.09731944,52.53151536,13.38505606,NO,Black 80's Hatchback,Compact,Black,5.758260611,57.4662,Civilian,Assets/Hatchback and Sedan/prefabs/,HATCHBACK_1988_black.prefab,0.61,0.61,0.61,No
390456.003106594,5821381.25747569,52.53150215,13.38507682,NO,Black Full-size Sedan,Full-size Car,Black,6.097027276,236.2495,Civilian,Assets/Vehicle - pro 3d models/Civilian_vehicle_05/Prefab/,CivilianVehicle05_black.prefab,1.15,1,1,No
390456.923028469,5821379.14761241,52.53148448,13.38509912,NO,Black 90's SUV,Full-size,Black,6.241696074,56.6239,Civilian,Assets/Urban American Assets/Props/Vehicles/,Suv_black.prefab,1,1,1,No
390458.503106594,5821377.14761241,52.53146673,13.38511636,NO,White Mid-size Car,Mid-size,White,6.099101957,58.085,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_white.prefab,1.15,1,1,No
390460.173028469,5821375.18740733,52.53144456,13.38513883,NO,Black Sporty Hatchback,Compact,Black,4.245428928,-304.812,Civilian,Assets/Azerilo/Car Model No.1201 Asset/Prefab/,Sporty_Hatchback_black.prefab,1,1,1,No
390466.063043118,5821366.75747569,52.53136492,13.38523251,NO,Dark Blue Large Van,Large Van,Dark Blue,6.259198465,56.0141,Civilian,Assets/Urban American Assets/Props/Vehicles B/,Traffic B - Van_dark_blue.prefab,1,1,1,No
390467.26311636,5821363.70742686,52.5313472,13.38525205,NO,Black Mid-size Car,Mid-size,Black,6.251766772,238.2271,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_black.prefab,1.15,1,1,No
390440.9688,5821189,52.52976918,13.38491604,NO,White Subcompact Car,Subcompact,White,33.99302542,-32.3996,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_white.prefab,0.9,0.9,0.9,No
390440,5821191.5,52.52979145,13.38490094,NO,Silver Subcompact Car,Subcompact,Silver,36.62353127,147.4628,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_silver.prefab,0.9,0.9,0.9,No
390429.8125,5821206.5,52.5299242,13.38474588,NO,White Sporty Hatchback Microcar,Microcar,White,48.32985607,53.5093,Civilian,Assets/Azerilo/Car Model No.1201 Asset/Prefab/,Sporty_Hatchback_white.prefab,0.7,0.8,0.75,No
390444.4375,5821144.5,52.52936997,13.38498182,NO,White Subcompact Car,Subcompact,White,5.456656675,146.3826,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_white.prefab,0.9,0.9,0.9,No
390446.6875,5821146,52.52938391,13.38501448,NO,80's Mid-size Sedan 1,Mid-size,White,5.392837338,146.7903,Civilian,Assets/Urban American Assets/Props/Vehicles/,Car2.prefab,0.85,0.85,0.85,No
390448.9375,5821147,52.52939335,13.38504731,NO,80's Mid-size Sedan 1,Mid-size,White,5.752054012,146.8691,Civilian,Assets/Urban American Assets/Props/Vehicles/,Car2.prefab,0.85,0.85,0.85,No
390450.9063,5821148.5,52.52940722,13.38507582,NO,White 90's SUV,Full-size,White,5.538928588,146.5553,Civilian,Assets/Urban American Assets/Props/Vehicles/,Suv_white.prefab,1,1,1,No
390454.2813,5821151,52.52943037,13.38512473,NO,Silver Mid-size Car,Mid-size,Silver,5.232162327,147.3485,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_silver.prefab,1.15,1,1,No
390456.5313,5821152.5,52.5294443,13.38515739,NO,Silver Sporty Hatchback,Compact,Silver,5.16901292,147.7857,Civilian,Assets/Azerilo/Car Model No.1201 Asset/Prefab/,Sporty_Hatchback_silver.prefab,1,1,1,No
390458.875,5821154,52.52945825,13.38519143,NO,Silver Mid-size Car,Mid-size,Silver,5.156143173,147.348,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_silver.prefab,1.15,1,1,No
390464.25,5821157.5,52.52949078,13.38526948,NO,Black Mid-size Car,Mid-size,Black,5.075901581,147.1989,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_black.prefab,1.15,1,1,No
390466.0625,5821159,52.52950463,13.38529569,NO,Red Mid-size Car,Mid-size,Red,4.778971179,148.4246,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_red.prefab,1.15,1,1,No
390468.4688,5821160.5,52.52951859,13.38533065,NO,White 70's Jeep,Compact SUV,White,4.799130092,147.3203,Civilian,Assets/Stylized Vehicles Pack Free/Prefabs/,Jeep2_white.prefab,0.7,0.7,0.7,No
390470.8125,5821162,52.52953254,13.3853647,NO,Silver Subcompact Car,Subcompact,Silver,4.786593247,146.8475,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_silver.prefab,0.9,0.9,0.9,No
390473.0625,5821163.5,52.52954647,13.38539736,NO,White Compact Car,Compact,White,4.72311097,147.3193,Civilian,Assets/Car folder/,white_sedan.prefab,0.6,0.6,0.6,No
390475.125,5821165,52.52956037,13.38542725,NO,Black Sporty Hatchback,Compact,Black,4.561560079,145.9681,Civilian,Assets/Azerilo/Car Model No.1201 Asset/Prefab/,Sporty_Hatchback_black.prefab,1,1,1,No
390477.5625,5821166,52.52956985,13.38546284,NO,Black Subcompact Car,Subcompact,Black,5.019252828,147.8216,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_black.prefab,0.9,0.9,0.9,No
390491.1563,5821174.5,52.52964896,13.38566035,NO,White Compact Car,Compact,White,5.115068369,149.1874,Civilian,Assets/Car folder/,white_sedan.prefab,0.6,0.6,0.6,No
390493.3125,5821176,52.52966288,13.38569162,NO,Dark Blue Mid-size Car,Mid-size,Dark Blue,5.0001902,147.0933,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_dark_blue.prefab,1.15,1,1,No
390495.2813,5821177.5,52.52967675,13.38572014,NO,Silver Subcompact Car,Subcompact,Silver,4.786955558,146.7402,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_silver.prefab,0.9,0.9,0.9,No
390518.75,5821192.5,52.52981627,13.38606102,NO,Dark Silver Compact Car,Compact,Silver,4.675203128,149.0344,Civilian,Assets/Car folder/,dark_grey_sedan.prefab,0.6,0.6,0.6,No
390526.3438,5821197.5,52.52986273,13.38617126,NO,Silver Sporty Hatchback,Compact,Silver,4.51580447,145.893,Civilian,Assets/Azerilo/Car Model No.1201 Asset/Prefab/,Sporty_Hatchback_silver.prefab,1,1,1,No
390528.4375,5821199,52.52987663,13.38620162,NO,White Subcompact Car,Subcompact,White,4.367109241,148.0871,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_white.prefab,0.9,0.9,0.9,No
