X,Y,LATITUDE,LONGITUDE,fid,LIGHTSTYLE,ShortNumbe,OPERATOR,STATUS,DISTRICT,LOCATION,ROAD,EAST,NORTH,LUMINOUS,MODEL,SCALE_X,SCALE_Y,SCALE_Z,HubDist,BEARING
390739.6706,5819006.466,52.51021559,13.39003483,s_oeffbeleucht.93604,16228-2110115-00,115,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390739.6706,5819006.466,Light pole with top light,/Assets/Models/Berlin/Street_Light_Models/Object26.prefab,1.8,1.8,1.8,7.46953259,263.4564
390727.4626,5818969.202,52.50987827,13.38986726,s_oeffbeleucht.93605,16228-2110116-00,116,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390727.4626,5818969.202,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,3.74377976,357.307
390724.6819,5819007.001,52.51021739,13.38981389,s_oeffbeleucht.93607,16228-2110118-00,118,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390724.6819,5819007.001,Light pole with top light,/Assets/Models/Berlin/Street_Light_Models/Object26.prefab,1.8,1.8,1.8,7.412720501,86.6378
390729.1476,5819134.131,52.51136076,13.3898379,s_oeffbeleucht.93609,16228-2110127-00,127,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390729.1476,5819134.131,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,7.113989433,357.307
390714.8593,5819133.639,52.51135347,13.38962761,s_oeffbeleucht.93610,16228-2110128-00,128,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390714.8593,5819133.639,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,7.167109105,357.307
390727.1513,5819158.344,52.51157795,13.38980054,s_oeffbeleucht.93611,16228-2110129-00,129,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390727.1514,5819158.344,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,7.070713726,357.307
390713.1165,5819156.508,52.51155864,13.38959442,s_oeffbeleucht.93612,16228-2110130-00,130,Electricity,Renovation (out of service),Mitte (REG A),Mitte,FriedrichstraÃŸe,390713.1165,5819156.508,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,7.062172577,357.3072
390725.4526,5819182.004,52.51179023,13.38976775,s_oeffbeleucht.93613,16228-2110131-00,131,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390725.4526,5819182.004,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,7.069645607,355.851
390711.3337,5819180.85,52.51177703,13.38956016,s_oeffbeleucht.93614,16228-2110132-00,132,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390711.3338,5819180.85,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,7.096514159,355.851
390724.0541,5819203.26,52.51198097,13.38974016,s_oeffbeleucht.93615,16228-2110133-00,133,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390724.0541,5819203.26,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,7.203013844,355.851
390709.8032,5819202.523,52.51197149,13.3895305,s_oeffbeleucht.93616,16228-2110134-00,134,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390709.8032,5819202.523,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,7.077699928,355.851
390721.4372,5819232.377,52.51224211,13.38969205,s_oeffbeleucht.93617,16228-2110135-00,135,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390721.4372,5819232.377,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,6.657794923,355.851
390648.9691,5820160.371,52.5205671,13.38831945,s_oeffbeleucht.93705,16228-2110328-00,328,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390648.9692,5820160.371,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,6.038621735,354.878
390634.5689,5820159.355,52.52055508,13.38810764,s_oeffbeleucht.93706,16228-2110329-00,329,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390634.569,5820159.355,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,8.397558937,354.878
390632.9844,5820178.9,52.5207304,13.38807786,s_oeffbeleucht.93707,16228-2110331-00,331,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390632.9844,5820178.9,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,8.354449918,354.8785
390644.8882,5820200.172,52.52092396,13.38824623,s_oeffbeleucht.93708,16228-2110332-00,332,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390644.8882,5820200.172,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,5.306803379,175.811
390631.1112,5820201.401,52.52093224,13.38804286,s_oeffbeleucht.93709,16228-2110333-00,333,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390631.1112,5820201.401,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,8.333151118,175.811
390642.3887,5820226.467,52.52115976,13.38820076,s_oeffbeleucht.93710,16228-2110334-00,334,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390642.3887,5820226.467,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,5.002389149,175.811
390629.2214,5820224.845,52.52114254,13.38800731,s_oeffbeleucht.93711,16228-2110335-00,335,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390629.2214,5820224.845,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,8.264693718,175.811
390639.5986,5820263.768,52.52149441,13.38814738,s_oeffbeleucht.93712,16228-2110336-00,336,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390639.5986,5820263.768,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,5.333451697,175.6798
390627.3659,5820249.408,52.5213629,13.38797189,s_oeffbeleucht.93713,16228-2110337-00,337,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390627.3659,5820249.408,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,8.066446228,175.811
390637.7442,5820284.551,52.5216808,13.38811323,s_oeffbeleucht.93714,16228-2110338-00,338,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390637.7442,5820284.551,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,5.220699255,175.8106
390625.8876,5820268.097,52.52153056,13.38794396,s_oeffbeleucht.93715,16228-2110339-00,339,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390625.8876,5820268.097,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,7.968935874,175.811
390675.1851,5819861.123,52.51788313,13.38880407,s_oeffbeleucht.93716,16228-2110304-00,304,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390675.1851,5819861.123,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,9.365571364,356.154
390656.7491,5819916.969,52.5183813,13.38851412,s_oeffbeleucht.93717,16228-2110309-00,309,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390656.7491,5819916.969,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,5.288765738,356.154
390666.9898,5819916.525,52.51837937,13.38866513,s_oeffbeleucht.93718,16228-2110308-00,308,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390666.9898,5819916.525,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,4.926354613,356.154
