X,Y,LATITUDE,LONGITUDE,name,altitude,BEARING,href,CityObjType,ELEVATION,LocalityName,ThoroughfareName,ThoroughfareNumber,function,measuredHeight,roofType
391537.3615,5820408.123,52.5229711,13.4013267,DEB_LOD2_UUID_d5b907ac-d77c-4edb-9568-963238749799,35.12,358.7358254,27602/DEB_LOD2_UUID_d5b907ac-d77c-4edb-9568-963238749799.dae,Building,35.12,Berlin,Anna-Louisa-Karsch-Str.,2,1499,24.569,2100
391145.9471,5820640.307,52.5249796,13.3954839,DEB_LOD2_UUID_cd1357fe-6e48-4356-aa91-510203d4d7ce,34.57,358.7271378,27649/DEB_LOD2_UUID_cd1357fe-6e48-4356-aa91-510203d4d7ce.dae,Building,34.57,Berlin,Sophienstr.,6,2121,17.257,2100
391302.3852,5820889.251,52.527248,13.3977074,DEB_LOD2_UUID_1aebe04d-9261-4f77-be3f-8fef5b6615b5,35.69,358.7262145,27699/DEB_LOD2_UUID_1aebe04d-9261-4f77-be3f-8fef5b6615b5.dae,Building,35.69,Berlin,Sophienstr.,6,2121,18.14,1000
391517.4503,5820978.977,52.5280972,13.400847,DEB_LOD2_UUID_c02f892a-b371-4702-9579-f97146744488,36.326,358.7260317,27979/DEB_LOD2_UUID_c02f892a-b371-4702-9579-f97146744488.dae,Building,36.326,Berlin,Sophienstr.,6,2121,17.541,1000
391765.5862,5820573.559,52.5245032,13.4046353,DEB_LOD2_UUID_fde2adfe-7ba8-4005-9e6b-7153e1feb6e8,35.87,358.7404519,28021/DEB_LOD2_UUID_fde2adfe-7ba8-4005-9e6b-7153e1feb6e8.dae,Building,35.87,Berlin,Sophienstr.,6,2121,20.038,3100
391521.264,5820883.084,52.5272362,13.4009345,DEB_LOD2_UUID_e929b689-f179-481e-afeb-b9c16623f8e0,36.551,358.7395967,28516/DEB_LOD2_UUID_e929b689-f179-481e-afeb-b9c16623f8e0.dae,Building,36.551,Berlin,Sophienstr.,6,2121,13.076,3100
391760.9097,5820818.871,52.5267068,13.4044865,DEB_LOD2_UUID_844b9dee-160d-44ae-a042-46b5cb579682,36.926,358.7445595,28455/DEB_LOD2_UUID_844b9dee-160d-44ae-a042-46b5cb579682.dae,Building,36.926,Berlin,Sophienstr.,6,2121,18.805,2100
391494.5118,5820982.668,52.5281258,13.4005078,DEB_LOD2_UUID_a824b6cf-f602-401f-8c3c-e65b8cbc74fd,36.333,358.7387986,28527/DEB_LOD2_UUID_a824b6cf-f602-401f-8c3c-e65b8cbc74fd.dae,Building,36.333,Berlin,Sophienstr.,6,2121,16.827,1000
391528.7659,5820991.334,52.5282105,13.4010097,DEB_LOD2_UUID_cb5dff8e-caac-451b-8e9d-3924aa7a86fa,36.302,358.7335887,28543/DEB_LOD2_UUID_cb5dff8e-caac-451b-8e9d-3924aa7a86fa.dae,Building,36.302,Berlin,Sophienstr.,6,2121,14.4,1000
391438.8336,5820418.452,52.5230443,13.3998717,DEB_LOD2_UUID_c86dfaeb-a0d0-4055-bfba-9010b25c41b7,35.65,358.7319967,28559/DEB_LOD2_UUID_c86dfaeb-a0d0-4055-bfba-9010b25c41b7.dae,Building,35.65,Berlin,Sophienstr.,6,2121,23.046,3100
391128.4633,5820841.149,52.526781,13.3951605,DEB_LOD2_UUID_f1c9ebc3-4535-44ba-963b-a72f4ac2b218,35.21,358.7359912,28579/DEB_LOD2_UUID_f1c9ebc3-4535-44ba-963b-a72f4ac2b218.dae,Building,35.21,Berlin,Sophienstr.,6,2121,15.952,2100
391591.3198,5820175.942,52.5208953,13.4021974,DEB_LOD2_UUID_4430be2c-322e-4e86-846e-6c112ba3f44c,33.9,358.7431515,30007/DEB_LOD2_UUID_4430be2c-322e-4e86-846e-6c112ba3f44c.dae,Building,33.9,Berlin,Sophienstr.,6,2121,41.385,2100
391230.1178,5820830.511,52.5267057,13.3966618,DEB_LOD2_UUID_30773fcb-61cf-499e-a13d-ea70dc0ec1c6,35.64,358.7272645,28879/DEB_LOD2_UUID_30773fcb-61cf-499e-a13d-ea70dc0ec1c6.dae,Building,35.64,Berlin,Sophienstr.,6,2121,7.508,2100
391147.2068,5820741.24,52.5258869,13.3954694,DEB_LOD2_UUID_fb41ab30-aac9-4bc0-8127-ca0cdd6823e9,34.42,358.72621,28681/DEB_LOD2_UUID_fb41ab30-aac9-4bc0-8127-ca0cdd6823e9.dae,Building,34.42,Berlin,Sophienstr.,6,2121,21.29,1000
391986.2511,5820768.049,52.5262948,13.4078233,DEB_LOD2_UUID_28077afd-3f37-4f61-9800-cf2cae937888,35.98,358.7455149,28926/DEB_LOD2_UUID_28077afd-3f37-4f61-9800-cf2cae937888.dae,Building,35.98,Berlin,Sophienstr.,6,2121,21.047,1000
391529.5106,5820975.939,52.5280723,13.4010257,DEB_LOD2_UUID_7d578bd5-d4fd-43c7-b855-99850329b028,36.34,358.7387215,29051/DEB_LOD2_UUID_7d578bd5-d4fd-43c7-b855-99850329b028.dae,Building,36.34,Berlin,Sophienstr.,6,2121,22.544,2100
391531.8764,5820884.829,52.527254,13.4010903,BLDG_000300070003ea77,36.1699982,358.7329931,29097/BLDG_000300070003ea77.dae,Building,36.17,Berlin,Sophienstr.,6,2121,20.55753,1000
391220.3963,5820662.054,52.5251899,13.3965737,DEB_LOD2_UUID_6dcbe216-d4ef-4954-96de-64f9ecc1b28c,34.87,358.7369832,29077/DEB_LOD2_UUID_6dcbe216-d4ef-4954-96de-64f9ecc1b28c.dae,Building,34.87,Berlin,Sophienstr.,6,2121,20.614,1000
391531.8379,5820884.93,52.5272549,13.4010897,BLDG_0003000b0056a4fd,36.1199989,358.7427482,29103/BLDG_0003000b0056a4fd.dae,Building,36.12,Berlin,Sophienstr.,6,1231,18.12167,1000
391648.6056,5820895.431,52.5273725,13.4028068,BLDG_0003000e005591a5,35.8199997,358.7265432,29158/BLDG_0003000e005591a5.dae,Building,35.82,Berlin,Sophienstr.,6,1301,23.0486,1130
