LABEL,landuse,access,leisure,name,wheelchair,historic,religion,Surf_Type,area_highw,kerb,landcover,postal_cod,leaf_cycle,leaf_type,natural,changeset,addr_city,addr_postc,addr_count,addr_subur,amenity,opening_ho,lit,fee,parking,park_ride,supervised,surface,capacity,capacity_d,capacity_p,capacity_w,parking_co,parking_c1,parking_c2,parking_c3,note,highway,area,bicycle,ID,PERIMETER,ENCLOSED_A,GEOMETRY
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,"POLYGON(( 392283.160537458 5820678.124210073, 392281.705745921 5820674.959798898, 392307.372429326 5820730.789062245, 392313.980252445 5820730.789062245, 392298.508633085 5820697.899153880, 392317.368879048 5820689.296266041, 392317.368879048 5820679.218465528, 392314.815954582 5820672.975623980, 392299.998174387 5820681.194754650, 392302.069549566 5820685.659720140, 392303.707440554 5820689.190286040, 392294.431711614 5820693.030814730, 392292.793820555 5820689.500248770, 392291.203781798 5820686.072831060, 392287.814532301 5820678.767113470, 392296.608925049 5820673.889037160, 392311.754115695 5820665.488298720, 392317.368879048 5820662.373900362, 392317.368879048 5820659.009740453, 392283.160537458 5820678.124210073 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,"POLYGON(( 392273.168107590 5820646.646039620, 392269.872330864 5820646.646039620, 392279.129817429 5820667.296068829, 392281.705745921 5820674.959798898, 392280.238666825 5820670.595043347, 392317.368879048 5820649.847931677, 392317.368879048 5820646.646039620, 392314.545227330 5820646.646039620, 392312.328476220 5820647.688544630, 392312.328464460 5820647.688527240, 392284.236753996 5820660.899640540, 392279.128975410 5820650.062387680, 392279.128975516 5820650.062387628, 392278.286114878 5820648.274077110, 392277.839028983 5820647.325634010, 392277.518768658 5820646.646039620, 392276.580296447 5820646.646039620, 392277.093237686 5820647.698190390, 392274.268601381 5820649.012809310, 392273.309325807 5820646.949939040, 392273.168107590 5820646.646039620 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,"POLYGON(( 392235.070615614 5821000.998321922, 392235.070615614 5821008.232199436, 392236.584228418 5821008.232199436, 392236.584227909 5821008.232198306, 392235.148512761 5821005.052133595, 392246.526761046 5820999.845881170, 392246.526761046 5820996.640663350, 392241.719641097 5820999.058117797, 392235.406926785 5821001.778694226, 392235.070615614 5821000.998321922 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,"POLYGON(( 392246.526761046 5821006.509280467, 392242.761327289 5821008.232199436, 392246.526761046 5821008.232199436, 392246.526761046 5821006.509280467 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,"POLYGON(( 392235.070615614 5820997.953261148, 392235.070615614 5821000.072957160, 392241.000902511 5820997.517194672, 392246.526761046 5820994.738293527, 392246.526761046 5820993.531295437, 392240.718688708 5820996.465490792, 392235.404312892 5820998.734754588, 392235.070615614 5820997.953261148 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,"POLYGON(( 392235.070615614 5820987.756825656, 392235.070615614 5820997.029223930, 392240.001057341 5820994.923901869, 392246.526761046 5820991.627164476, 392246.526761046 5820988.255253742, 392236.993697493 5820991.825939190, 392235.070615614 5820987.756825656 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,"POLYGON(( 392235.070615614 5820977.807368310, 392235.070615614 5820982.553785108, 392246.526761046 5820977.220761154, 392246.526761046 5820972.182334818, 392238.953178217 5820975.901007630, 392235.070615614 5820977.807368310 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,"POLYGON(( 392235.070615615 5820919.753222598, 392246.526761046 5820913.141027069, 392246.526761046 5820904.808062770, 392235.070615615 5820910.859281212, 392235.070615615 5820919.753222598 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,"POLYGON(( 392519.802544367 5820914.881542983, 392519.802544367 5820932.761598397, 392521.514512936 5820931.894008110, 392521.531221089 5820931.930014590, 392528.214300266 5820928.482901990, 392523.298405545 5820919.144376850, 392527.284150487 5820917.120763352, 392527.274000000 5820917.103000000, 392526.453000000 5820916.859000000, 392526.268000000 5820916.804000000, 392522.556000000 5820915.700000000, 392520.543000000 5820915.102000000, 392519.802544367 5820914.881542983 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,"POLYGON(( 392550.180518289 5820638.153365435, 392549.902992313 5820638.361500000, 392550.334822919 5820638.361500000, 392550.180518289 5820638.153365435 ))"
